cluster,n_treated_zones,n_control_zones,beta_did,se,pvalue,approx_pct_effect
0.0,32,39,-0.1360679297371274,0.0186541391169472,3.015365734881925e-13,-12.721665746806089
3.0,8,7,-0.16529282897503397,0.029656757016412797,2.512131991316835e-08,-15.23545474070006
