spec,beta_did,se,t_stat,pvalue,n_obs,r2_within,approx_pct_effect
Baseline (two-way FE),-0.10214885271710258,0.009264079764603207,-11.026335622389555,0.0,702408,0.00132527853229647,-9.710485672973723
Full (FE + controls),-0.21665539836307177,0.011406076926500381,-18.99473410175799,0.0,702408,0.16872901967163523,-19.479260271164023
