feature,importance
num__n_trips_lag_1h,453
num__n_trips_lag_168h,366
num__n_trips_lag_24h,334
num__hour,271
num__dayofweek,240
num__hour_cos,175
num__n_trips_ma_24h,172
num__hour_sin,126
num__temp_c,120
num__humidity,109
num__wind_speed,102
num__is_holiday,54
num__is_manhattan,49
num__month,48
cat__zone_cluster_3.0,42
cat__PULocationID_142,36
cat__PULocationID_236,31
num__treated_zone,27
cat__PULocationID_138,19
cat__PULocationID_161,18
