datetime,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-11-03 15:00:00,8.8,-3.4,42.0,0.0,,20.0,7.0,,1033.0,,1.0
2024-11-03 16:00:00,9.8,-4.6,36.0,0.0,,16.0,6.0,,1032.0,,1.0
2024-11-03 17:00:00,10.8,-6.6,29.0,0.0,,5.0,9.0,,1032.0,,1.0
2024-11-03 18:00:00,11.8,-8.1,24.0,0.0,,50.0,13.0,,1031.0,,1.0
2024-11-03 19:00:00,11.8,-9.8,21.0,0.0,,1.0,7.0,,1031.0,,1.0
2024-11-03 20:00:00,13.0,-6.6,25.0,0.0,,5.0,9.7,,1030.3,,2.0
2024-11-03 21:00:00,10.8,-8.5,25.0,0.0,,9.0,9.0,,1032.0,,3.0
2024-11-03 22:00:00,9.8,-8.3,27.0,0.0,,20.0,6.0,,1032.0,,1.0
2024-11-03 23:00:00,8.8,-7.8,30.0,0.0,,30.0,6.0,,1033.0,,1.0
2024-11-04 00:00:00,9.8,-10.9,22.0,0.0,,30.0,7.0,,1033.0,,1.0
2024-11-04 01:00:00,8.8,-11.2,23.0,0.0,,20.0,9.0,,1033.0,,1.0
2024-11-04 02:00:00,7.8,-6.4,36.0,0.0,,32.0,8.6,,1033.0,,3.0
2024-11-04 03:00:00,7.8,-4.3,42.0,0.0,,20.0,6.0,,1034.0,,2.0
2024-11-04 04:00:00,7.8,-2.8,47.0,0.0,,32.0,9.4,,1034.0,,1.0
2024-11-04 05:00:00,7.8,-2.8,47.0,0.0,,36.0,6.0,,1033.0,,1.0
2024-11-04 06:00:00,6.8,-2.6,51.0,0.0,,40.0,6.0,,1034.0,,1.0
2024-11-04 07:00:00,7.8,-1.2,53.0,0.0,,110.0,7.0,,1033.0,,2.0
2024-11-04 08:00:00,7.8,-0.7,55.0,0.0,,20.0,6.0,,1034.0,,1.0
2024-11-04 09:00:00,7.8,0.5,60.0,0.0,,30.0,7.0,,1034.0,,3.0
2024-11-04 10:00:00,7.8,0.5,60.0,0.0,,40.0,7.0,,1034.0,,3.0
2024-11-04 11:00:00,7.8,0.7,61.0,0.0,,28.0,6.0,,1035.0,,3.0
2024-11-04 12:00:00,8.8,2.1,63.0,0.0,,80.0,9.0,,1035.0,,3.0
2024-11-04 13:00:00,9.8,2.6,61.0,0.0,,80.0,7.0,,1035.0,,3.0
2024-11-04 14:00:00,11.8,1.7,50.0,0.0,,90.0,9.0,,1035.0,,3.0
2024-11-04 15:00:00,12.8,2.9,51.0,0.0,,98.0,11.0,,1034.0,,3.0
2024-11-04 16:00:00,12.8,3.2,52.0,0.0,,145.0,6.0,,1033.0,,3.0
2024-11-04 17:00:00,12.8,2.9,51.0,0.0,,145.0,9.0,,1033.0,,3.0
