model,MAE,RMSE,R2,SMAPE
Stacking (Ridge),2.3192939666814887,8.18700519596159,0.9719011621175989,136.33042540306653
LightGBM,2.336833477702429,8.194326936159106,0.9718508813664783,100.27513792500402
RandomForest,2.3850249087546462,8.604763949792954,0.9689603976621316,11.76729336044376
Simple average,2.6850258986141666,9.395216268228825,0.9629957343778385,137.1085869892639
Ridge,3.083810790456238,9.773670745539398,0.9599545078387389,73.83277782755103
Poisson,4.450478013411932,17.706952071093205,0.8685605146082612,142.05732265065967
